GEO.id,GEO.id2,GEO.display-label,TotalPop,Age16,Age18,Age21,Age62,Age65,White1,Black1,AmerInd1,Asian1,HawPac1,Other1,Mixed,White2,Black2,AmerInd2,Asian2,HawPac2,Other2,Hispanic,HousingUnits,OwnerOccupied,PopOwnerOccupied,RenterUnits,PopRenter
0500000US01001,1001,"Autauga County, Alabama",54571,41804,39958,37756,8222,6546,42855,9643,232,474,32,466,869,43628,9976,565,706,65,561,1310,20221,15248,40942,4973,13174
0500000US01003,1003,"Baldwin County, Alabama",182265,145215,140367,134024,37780,30568,156153,17105,1216,1348,89,3631,2723,158661,17996,2436,1818,179,4051,7992,73180,53071,131251,20109,48707
0500000US01005,1005,"Barbour County, Alabama",27457,22185,21442,20435,4958,3909,13180,12875,114,107,29,894,258,13352,13021,224,124,48,953,1387,9820,6556,16020,3264,8244
0500000US01007,1007,"Bibb County, Alabama",22915,18372,17714,16889,3690,2906,17381,5047,64,22,13,185,203,17548,5136,158,54,21,209,406,7953,6011,16003,1942,4688
0500000US01009,1009,"Blount County, Alabama",57322,44902,43216,41054,10549,8439,53068,761,307,117,38,2347,684,53716,909,675,212,51,2466,4626,21578,17384,46335,4194,10498
0500000US01011,1011,"Bullock County, Alabama",10914,8793,8484,8056,1827,1469,2507,7666,23,20,43,569,86,2557,7706,66,28,54,593,777,3745,2576,6122,1169,3102
0500000US01013,1013,"Butler County, Alabama",20947,16485,15891,15150,4242,3489,11399,9095,60,177,7,48,161,11535,9179,119,201,12,70,191,8491,5967,14641,2524,5973
0500000US01015,1015,"Calhoun County, Alabama",118572,94602,91446,85440,21095,16990,88840,24382,540,845,96,1894,1975,90569,25322,1214,1222,230,2137,3893,47331,32552,80747,14779,34906
0500000US01017,1017,"Chambers County, Alabama",34215,27462,26512,25229,7073,5706,20112,13257,69,168,10,214,385,20447,13473,187,211,18,277,536,13933,9843,23979,4090,9778
0500000US01019,1019,"Cherokee County, Alabama",25989,21093,20423,19528,5832,4651,24081,1208,135,54,1,123,387,24458,1319,359,77,15,159,320,10626,8345,20341,2281,5358
